orgid,approved_url
10235801,https://erp.sjctni.edu/StudERP/login/
10245745,https://uauth.vtu-online.net/login?code=eyJjbGllbnQiOiJ2dHUiLCJyZXF1ZXN0X3R5cGUiOiJBcHBsaWNhbnQiLCJwYWdlIjoic2lnbnVwIn0=#
10249121,https://ignou.samarth.edu.in/index.php/site/login
10251098,https://sujammu.samarth.edu.in/index.php/site/login
10251213,https://sggu.samarth.edu.in/index.php/site/login
10251739,https://fimt-ggsipu.org/student-portal1.php
10257675,https://gjuonline.ac.in/gjust/student/
10257675,https://web.gjuonline.ac.in/webapp/index.php/student_result.html
10272424,https://slc.uod.ac.in/index.php/site/login
10274631,https://sstcstudent.conicworks.com/login.php
10276519,https://www.ckthakurcollege.net/StudentLogin/Index
10282171,https://mu.samarth.edu.in/index.php/site/login
10283657,https://cuic.annauniv.edu/login/student
10283657,https://onlineservices.annauniv.edu/pages/login.php
10294045,https://mu.samarth.edu.in/index.php/site/login
10295362,https://sim.unipune.ac.in/sim_app/login/login
10295532,https://ignou.samarth.edu.in/index.php/site/login
10302408,https://ignou.samarth.edu.in/index.php/site/login
10307636,https://www.sgceducation.org/login.aspx
10308998,https://dbrau.samarth.edu.in/index.php/site/login
10311699,https://scdgovtcollege.ac.in/Account/Login
10314799,https://dbatu.samarth.edu.in/index.php/site/login
10316810,https://sxc.qualcampus.com/Account/LogOn?ReturnUrl=%2f
10316810,https://unigoa.samarth.edu.in/index.php/site/login
10318999,https://assamshesp.samarth.edu.in/index.php/site/login
10319532,https://apply.takshashilauniv.ac.in/login
10323650,https://ignou.samarth.edu.in/index.php/site/login
10333737,https://onlinelms.mmumullana.org/auth/login
10486120,https://campusmoodle.unipune.ac.in/login/index.php
10486120,https://eclm.unipune.ac.in/login.aspx
10486120,https://sim.unipune.ac.in/sim_app/Login/Login
10486120,https://sol.unipune.ac.in/login/login/studentlogin
10488545,https://magadhuniversity.samarth.edu.in/index.php/site/login
10488545,https://online.mueducation.ac.in/user/student_signin.aspx
10488609,https://sis.jntuhceh.ac.in/student/login
10494737,https://campus.uno/sjbit
10559476,https://brabu.samarth.edu.in/index.php/site/login
11243770,https://cimsstudentnewui.mastersofterp.in/
11260749,https://dypatiluniversityonline.com/login
11316238,https://hrituniversity.edu.in/login
11332649,https://student.culko.in/
11427441,https://christijk.linways.com/student/
11430180,https://hnbgu.samarth.edu.in/index.php/site/login
